   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2524    0.017    0.000    0.046    0.000 cookiejar.py:1739(clear_expired_cookies)
    15144    0.019    0.000    0.019    0.000 cookiejar.py:1758(__iter__)
     7572    0.008    0.000    0.008    0.000 cookiejar.py:44(_debug)
    10096    0.049    0.000    0.049    0.000 cookiejar.py:885(__init__)
     5048    0.006    0.000    0.006    0.000 cookies.py:110(__init__)
    10096    0.007    0.000    0.007    0.000 cookies.py:117(info)
     5048    0.043    0.000    0.495    0.000 cookies.py:124(extract_cookies_to_jar)
     2524    0.020    0.000    0.283    0.000 cookies.py:140(get_cookie_header)
     7572    0.041    0.000    0.381    0.000 cookies.py:35(__init__)
     5048    0.016    0.000    0.048    0.000 cookies.py:358(update)
     7572    0.063    0.000    0.350    0.000 cookies.py:521(cookiejar_from_dict)
     7572    0.017    0.000    0.097    0.000 cookies.py:534(<listcomp>)
     5048    0.022    0.000    0.077    0.000 cookies.py:542(merge_cookies)
     2524    0.002    0.000    0.002    0.000 cookies.py:87(get_new_headers)
    83292    0.021    0.000    0.021    0.000 cpp_common.pxd:326(conv_sequence)
    41646    0.053    0.000    0.074    0.000 cpp_common.pxd:370(preprocess_strings)
     2524    0.031    0.000    0.166    0.000 decoder.py:332(decode)
     2524    0.105    0.000    0.105    0.000 decoder.py:343(raw_decode)
     5048    0.020    0.000    0.037    0.000 enum.py:359(__call__)
     5048    0.017    0.000    0.017    0.000 enum.py:678(__new__)
     2524    0.032    0.000    0.089    0.000 feedparser.py:101(push)
     5048    0.014    0.000    0.021    0.000 feedparser.py:122(pushlines)
     5048    0.003    0.000    0.003    0.000 feedparser.py:125(__iter__)
    15144    0.033    0.000    0.079    0.000 feedparser.py:128(__next__)
     2524    0.041    0.000    0.084    0.000 feedparser.py:139(__init__)
     2524    0.012    0.000    0.724    0.000 feedparser.py:173(feed)
     5048    0.027    0.000    0.679    0.000 feedparser.py:178(_call_parse)
     2524    0.018    0.000    0.188    0.000 feedparser.py:184(close)
     2524    0.016    0.000    0.024    0.000 feedparser.py:197(_new_message)
     2524    0.008    0.000    0.010    0.000 feedparser.py:210(_pop_message)
     5048    0.108    0.000    0.652    0.000 feedparser.py:218(_parsegen)
     2524    0.075    0.000    0.176    0.000 feedparser.py:471(_parse_headers)
     2524    0.026    0.000    0.026    0.000 feedparser.py:53(__init__)
     2524    0.019    0.000    0.039    0.000 feedparser.py:70(close)
    15144    0.041    0.000    0.047    0.000 feedparser.py:78(readline)
     5048    0.027    0.000    0.893    0.000 genericpath.py:16(exists)
     7572    0.022    0.000    0.033    0.000 hooks.py:15(default_hooks)
     7572    0.011    0.000    0.011    0.000 hooks.py:16(<dictcomp>)
     2524    0.008    0.000    0.010    0.000 hooks.py:22(dispatch_hook)
     5048    0.041    0.000    0.058    0.000 idna.py:147(encode)
     2524    0.003    0.000    0.003    0.000 language_tag.py:21(__str__)
     9360    0.037    0.000    0.098    0.000 match.py:109(__setattr__)
      624    0.020    0.000    0.140    0.000 match.py:47(__init__)
     9360    0.060    0.000    0.060    0.000 match.py:5(get_match_ordered_dict)
      624    0.002    0.000    0.002    0.000 match.py:57(<listcomp>)
     5048    0.024    0.000    0.024    0.000 message.py:120(__init__)
     5048    0.006    0.000    0.010    0.000 message.py:181(is_multipart)
     2524    0.022    0.000    0.047    0.000 message.py:213(get_payload)
    10096    0.031    0.000    0.044    0.000 message.py:29(_splitparam)
     2524    0.007    0.000    0.009    0.000 message.py:303(set_payload)
     2524    0.012    0.000    0.065    0.000 message.py:451(items)
     2524    0.014    0.000    0.053    0.000 message.py:459(<listcomp>)
    20192    0.091    0.000    0.206    0.000 message.py:462(get)
     7572    0.012    0.000    0.016    0.000 message.py:479(set_raw)
    10096    0.048    0.000    0.066    0.000 message.py:497(get_all)
    10096    0.057    0.000    0.250    0.000 message.py:564(get_content_type)
     7572    0.021    0.000    0.187    0.000 message.py:588(get_content_maintype)
    83292    0.021    0.000    0.021    0.000 metrics_cpp.pyx:181(get_score_cutoff_i64)
    41646    0.096    0.000    0.191    0.000 metrics_cpp.pyx:215(levenshtein_distance)
     2524    0.011    0.000    0.018    0.000 models.py:1023(close)
     2524    0.049    0.000    0.500    0.000 models.py:106(_encode_params)
     2524    0.016    0.000    0.039    0.000 models.py:207(register_hook)
     2524    0.002    0.000    0.002    0.000 models.py:216(<genexpr>)
     2524    0.024    0.000    0.033    0.000 models.py:258(__init__)
     2524    0.013    0.000    0.027    0.000 models.py:335(__init__)
     2524    0.036    0.000    2.137    0.001 models.py:352(prepare)
     2524    0.011    0.000    0.017    0.000 models.py:394(prepare_method)
     2524    0.073    0.000    1.222    0.000 models.py:410(prepare_url)
     2524    0.064    0.000    0.329    0.000 models.py:484(prepare_headers)
     2524    0.020    0.000    0.045    0.000 models.py:495(prepare_body)
     2524    0.004    0.000    0.004    0.000 models.py:573(prepare_content_length)
     2524    0.011    0.000    0.139    0.000 models.py:589(prepare_auth)
     2524    0.015    0.000    0.299    0.000 models.py:611(prepare_cookies)
     2524    0.010    0.000    0.049    0.000 models.py:631(prepare_hooks)
     2524    0.051    0.000    0.247    0.000 models.py:659(__init__)
     2524    0.002    0.000    0.002    0.000 models.py:706(__enter__)
     2524    0.007    0.000    0.025    0.000 models.py:709(__exit__)
     2524    0.009    0.000    0.032    0.000 models.py:770(is_redirect)
     2524    0.014    0.000    0.015    0.000 models.py:795(iter_content)
     5056    0.024    0.000    0.904    0.000 models.py:812(generate)
     2524    0.018    0.000    0.058    0.000 models.py:85(path_url)
     7572    0.036    0.000    0.971    0.000 models.py:887(content)
     2524    0.024    0.000    0.031    0.000 models.py:906(text)
     2524    0.026    0.000    0.255    0.000 models.py:944(json)
     2524    0.006    0.000    0.006    0.000 netrc.py:117(authenticators)
     2524    0.040    0.000    3.452    0.001 netrc.py:23(__init__)
     2524    0.124    0.000    2.819    0.001 netrc.py:36(_parse)
     5048    0.071    0.000    0.174    0.000 ntpath.py:315(expanduser)
     5048    0.008    0.000    0.010    0.000 ntpath.py:35(_get_bothseps)
   956596    1.821    0.000    4.493    0.000 os.py:674(__getitem__)
   938928    0.678    0.000    0.678    0.000 os.py:697(__iter__)
   956596    0.736    0.000    0.986    0.000 os.py:740(check_str)
   956596    1.312    0.000    2.671    0.000 os.py:746(encodekey)
    85816    0.045    0.000    0.045    0.000 parse.py:103(_noop)
    85816    0.258    0.000    0.297    0.000 parse.py:114(_coerce_args)
     2524    0.005    0.000    0.015    0.000 parse.py:151(username)
    20192    0.083    0.000    0.216    0.000 parse.py:159(hostname)
     2524    0.007    0.000    0.009    0.000 parse.py:189(_userinfo)
    20192    0.073    0.000    0.111    0.000 parse.py:201(_hostinfo)
     2524    0.005    0.000    0.066    0.000 parse.py:336(geturl)
    32812    0.299    0.000    1.154    0.000 parse.py:372(urlparse)
      855    0.007    0.000    0.012    0.000 parse.py:411(_splitnetloc)
      900    0.002    0.000    0.002    0.000 parse.py:419(_checknetloc)
    35336    0.377    0.000    0.654    0.000 parse.py:437(urlsplit)
     7572    0.041    0.000    0.183    0.000 parse.py:494(urlunparse)
     7572    0.051    0.000    0.090    0.000 parse.py:505(urlunsplit)
     2524    0.073    0.000    0.326    0.000 parse.py:524(urljoin)
     2524    0.015    0.000    0.016    0.000 parse.py:644(unquote)
       45    0.000    0.000    0.001    0.000 parse.py:804(__init__)
     1361    0.003    0.000    0.004    0.000 parse.py:812(__missing__)
    12620    0.034    0.000    0.335    0.000 parse.py:818(quote)
    10096    0.046    0.000    0.350    0.000 parse.py:872(quote_plus)
       45    0.000    0.000    0.001    0.000 parse.py:88(clear_cache)
    12620    0.067    0.000    0.294    0.000 parse.py:889(quote_from_bytes)
     1893    0.104    0.000    0.176    0.000 parse.py:909(<listcomp>)
     2524    0.043    0.000    0.403    0.000 parse.py:911(urlencode)
     2524    0.006    0.000    0.006    0.000 parser.py:17(__init__)
     2524    0.035    0.000    1.037    0.000 parser.py:41(parse)
     2524    0.051    0.000    1.088    0.000 parser.py:59(parsestr)
     5048    0.042    0.000    0.112    0.000 poolmanager.py:171(__init__)
     2524    0.040    0.000    1.110    0.000 poolmanager.py:174(<lambda>)
     2524    0.044    0.000    0.808    0.000 poolmanager.py:189(_new_pool)
     5048    0.017    0.000    1.218    0.000 poolmanager.py:216(clear)
     2524    0.016    0.000    1.089    0.000 poolmanager.py:225(connection_from_host)
     2524    0.024    0.000    1.064    0.000 poolmanager.py:248(connection_from_context)
     2524    0.037    0.000    0.904    0.000 poolmanager.py:263(connection_from_pool_key)
     2524    0.025    0.000    2.353    0.001 poolmanager.py:287(connection_from_url)
     2524    0.006    0.000    0.010    0.000 poolmanager.py:303(_merge_pool_kwargs)
     2524    0.108    0.000    0.132    0.000 poolmanager.py:79(_default_key_normalizer)
     2524    0.002    0.000    0.002    0.000 proxy.py:4(connection_requires_http_tunnel)
     2524    0.008    0.000    0.008    0.000 queue.py:12(_init)
    27764    0.201    0.000    0.496    0.000 queue.py:122(put)
    58052    0.055    0.000    0.080    0.000 queue.py:15(_qsize)
    30288    0.206    0.000    0.524    0.000 queue.py:154(get)
    27764    0.037    0.000    0.049    0.000 queue.py:18(_put)
    27764    0.038    0.000    0.052    0.000 queue.py:21(_get)
     2524    0.040    0.000    0.153    0.000 queue.py:34(__init__)
     1264    0.005    0.000    0.100    0.000 re.py:232(findall)
     1264    0.006    0.000    0.009    0.000 re.py:288(_compile)
  1162933    2.865    0.000   82.504    0.000 re.py:314(_compile_repl)
  1162933    5.422    0.000   87.926    0.000 re.py:324(_subx)
      634    0.002    0.000    0.009    0.000 re.py:330(filter)
     2524    0.006    0.000    0.008    0.000 request.py:101(set_file_position)
     5048    1.338    0.000    8.079    0.002 request.py:2488(getproxies_environment)
     2524    0.031    0.000    0.187    0.000 request.py:2656(getproxies_registry)
     2524    0.015    0.000    4.220    0.002 request.py:2705(getproxies)
     7572    0.011    0.000    0.011    0.000 request.py:40(__init__)
     2524    0.077    0.000    0.196    0.000 response.py:200(__init__)
     5048    0.007    0.000    0.009    0.000 response.py:256(<genexpr>)
     5048    0.015    0.000    0.115    0.000 response.py:280(release_conn)
     2524    0.036    0.000    0.067    0.000 response.py:322(_init_length)
     2524    0.007    0.000    0.007    0.000 response.py:348(<listcomp>)
     2532    0.014    0.000    0.034    0.000 response.py:374(_init_decoder)
     2532    0.004    0.000    0.004    0.000 response.py:397(_decode)
     2524    0.028    0.000    0.088    0.000 response.py:40(assert_header_parsing)
     5064    0.017    0.000    0.130    0.000 response.py:430(_error_catcher)
     2532    0.014    0.000    0.540    0.000 response.py:486(_fp_read)
     2532    0.058    0.000    0.839    0.000 response.py:534(read)
     5056    0.022    0.000    0.877    0.000 response.py:606(stream)
     2524    0.062    0.000    0.494    0.000 response.py:632(from_httplib)
     2524    0.006    0.000    0.024    0.000 response.py:668(getheader)
     2524    0.011    0.000    0.018    0.000 response.py:686(closed)
     5056    0.012    0.000    0.016    0.000 response.py:9(is_fp_closed)
     5048    0.060    0.000    0.073    0.000 retry.py:243(__init__)
     5048    0.011    0.000    0.013    0.000 retry.py:301(<listcomp>)
     2524    0.016    0.000    0.018    0.000 retry.py:448(_is_method_retryable)
     2524    0.014    0.000    0.033    0.000 retry.py:468(is_retry)
     2524    0.002    0.000    0.002    0.000 server.py:100(language)
