((?:\s|^)[Tt])ranquility$	\1ranquillity
((?:\s|^)[Tt])ravelled$	\1raveled
((?:\s|^)[Tt])raveled$	\1ravelled
((?:\s|^)[Tt])raveller$	\1raveler
((?:\s|^)[Tt])raveler$	\1raveller
((?:\s|^)[Tt])ravelling$	\1raveling
((?:\s|^)[Tt])raveling$	\1ravelling
((?:\s|^)[Tt])umour$	\1umor
((?:\s|^)[Tt])umor$	\1umour

((?:\s|^)[Uu])rbanisation$	\1rbanization
((?:\s|^)[Uu])rbanization$	\1rbanisation

((?:\s|^)[Vv])alour$	\1alor
((?:\s|^)[Vv])alor$	\1alour
((?:\s|^)[Vv])ampyre$	\1ampire
((?:\s|^)[Vv])ampire$	\1ampyre
((?:\s|^)[Vv])ender$	\1endor
((?:\s|^)[Vv])endor$	\1ender
((?:\s|^)[Vv])ice$	\1ise
((?:\s|^)[Vv])ise$	\1ice
((?:\s|^)[Vv])ictual$	\1ittle
((?:\s|^)[Vv])ittle$	\1ictual
((?:\s|^)[Vv])igour$	\1igor
((?:\s|^)[Vv])igor$	\1igour

((?:\s|^)[Ww])intery$	\1intry
((?:\s|^)[Ww])intry$	\1intery
((?:\s|^)[Ww])hisky$	\1hiskey
((?:\s|^)[Ww])hiskey$	\1hisky
((?:\s|^)[Ww])oollen$	\1oolen
((?:\s|^)[Ww])oolen$	\1oollen

((?:\s|^)[Yy])oghurt$	\1ogurt
((?:\s|^)[Yy])ogurt$	\1oghurt
