ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
91055,2.248,0.000,16.013,0.000,match.py:47(__init__)
1365825,6.922,0.000,6.922,0.000,match.py:5(get_match_ordered_dict)
91055,0.188,0.000,0.188,0.000,match.py:57(<listcomp>)
182252,0.572,0.000,0.572,0.000,message.py:120(__init__)
182252,0.208,0.000,0.335,0.000,message.py:181(is_multipart)
91126,0.698,0.000,1.502,0.000,message.py:213(get_payload)
364504,1.045,0.000,1.443,0.000,message.py:29(_splitparam)
91126,0.197,0.000,0.288,0.000,message.py:303(set_payload)
91126,0.381,0.000,2.172,0.000,message.py:451(items)
91126,0.475,0.000,1.791,0.000,message.py:459(<listcomp>)
729008,2.916,0.000,6.529,0.000,message.py:462(get)
273378,0.406,0.000,0.516,0.000,message.py:479(set_raw)
364504,1.404,0.000,1.919,0.000,message.py:497(get_all)
364504,1.852,0.000,8.064,0.000,message.py:564(get_content_type)
273378,0.665,0.000,6.040,0.000,message.py:588(get_content_maintype)
21114,0.009,0.000,0.009,0.000,metrics_cpp.pyx:181(get_score_cutoff_i64)
10557,0.053,0.000,0.094,0.000,metrics_cpp.pyx:215(levenshtein_distance)
91126,0.314,0.000,0.551,0.000,models.py:1023(close)
91126,1.556,0.000,10.037,0.000,models.py:106(_encode_params)
91126,0.498,0.000,1.243,0.000,models.py:207(register_hook)
91126,0.076,0.000,0.076,0.000,models.py:216(<genexpr>)
91126,0.719,0.000,1.024,0.000,models.py:258(__init__)
91126,0.436,0.000,0.876,0.000,models.py:335(__init__)
91126,1.199,0.000,63.297,0.001,models.py:352(prepare)
91126,0.337,0.000,0.533,0.000,models.py:394(prepare_method)
91126,2.322,0.000,31.889,0.000,models.py:410(prepare_url)
91126,2.000,0.000,10.586,0.000,models.py:484(prepare_headers)
91126,0.668,0.000,1.427,0.000,models.py:495(prepare_body)
91126,0.140,0.000,0.140,0.000,models.py:573(prepare_content_length)
91126,0.337,0.000,4.433,0.000,models.py:589(prepare_auth)
91126,0.483,0.000,11.672,0.000,models.py:611(prepare_cookies)
91126,0.315,0.000,1.558,0.000,models.py:631(prepare_hooks)
91126,1.630,0.000,8.033,0.000,models.py:659(__init__)
91126,0.066,0.000,0.066,0.000,models.py:706(__enter__)
91126,0.192,0.000,0.742,0.000,models.py:709(__exit__)
91126,0.284,0.000,0.898,0.000,models.py:770(is_redirect)
91126,0.444,0.000,0.475,0.000,models.py:795(iter_content)
182465,0.753,0.000,26.575,0.000,models.py:812(generate)
91126,0.617,0.000,1.852,0.000,models.py:85(path_url)
273378,1.085,0.000,28.597,0.000,models.py:887(content)
91126,0.932,0.000,1.161,0.000,models.py:906(text)
91126,0.852,0.000,8.910,0.000,models.py:944(json)
91126,0.196,0.000,0.196,0.000,netrc.py:117(authenticators)
91126,1.158,0.000,107.569,0.001,netrc.py:23(__init__)
91126,3.895,0.000,87.503,0.001,netrc.py:36(_parse)
182252,2.248,0.000,5.521,0.000,ntpath.py:315(expanduser)
182252,0.225,0.000,0.291,0.000,ntpath.py:35(_get_bothseps)
42191338,67.851,0.000,170.128,0.000,os.py:674(__getitem__)
41553456,25.574,0.000,25.574,0.000,os.py:697(__iter__)
42191338,28.257,0.000,38.073,0.000,os.py:740(check_str)
42191338,50.218,0.000,102.276,0.000,os.py:746(encodekey)
3098284,1.239,0.000,1.239,0.000,parse.py:103(_noop)
3098284,7.977,0.000,9.241,0.000,parse.py:114(_coerce_args)
91126,0.194,0.000,0.514,0.000,parse.py:151(username)
729008,2.678,0.000,7.078,0.000,parse.py:159(hostname)
91126,0.235,0.000,0.320,0.000,parse.py:189(_userinfo)
729008,2.462,0.000,3.673,0.000,parse.py:201(_hostinfo)
91126,0.158,0.000,2.046,0.000,parse.py:336(geturl)
1184638,8.839,0.000,37.598,0.000,parse.py:372(urlparse)
93860,0.652,0.000,1.155,0.000,parse.py:411(_splitnetloc)
98800,0.175,0.000,0.225,0.000,parse.py:419(_checknetloc)
1275764,12.825,0.000,22.550,0.000,parse.py:437(urlsplit)
273378,1.311,0.000,5.679,0.000,parse.py:494(urlunparse)
273378,1.616,0.000,2.808,0.000,parse.py:505(urlunsplit)
91126,2.196,0.000,10.065,0.000,parse.py:524(urljoin)
91126,0.432,0.000,0.487,0.000,parse.py:644(unquote)
1154,0.005,0.000,0.011,0.000,parse.py:804(__init__)
41450,0.050,0.000,0.079,0.000,parse.py:812(__missing__)
455630,1.094,0.000,4.836,0.000,parse.py:818(quote)
364504,1.352,0.000,5.298,0.000,parse.py:872(quote_plus)
4940,0.016,0.000,0.086,0.000,parse.py:88(clear_cache)
455630,1.884,0.000,3.540,0.000,parse.py:889(quote_from_bytes)
1201,0.231,0.000,0.479,0.000,parse.py:909(<listcomp>)
91126,1.350,0.000,6.977,0.000,parse.py:911(urlencode)
91126,0.227,0.000,0.227,0.000,parser.py:17(__init__)
91126,1.196,0.000,33.129,0.000,parser.py:41(parse)
91126,1.551,0.000,34.680,0.000,parser.py:59(parsestr)
182252,1.405,0.000,3.412,0.000,poolmanager.py:171(__init__)
91126,1.236,0.000,35.294,0.000,poolmanager.py:174(<lambda>)
91126,1.342,0.000,25.161,0.000,poolmanager.py:189(_new_pool)
182252,0.499,0.000,38.584,0.000,poolmanager.py:216(clear)
91126,0.488,0.000,34.051,0.000,poolmanager.py:225(connection_from_host)
91126,0.861,0.000,33.248,0.000,poolmanager.py:248(connection_from_context)
91126,1.030,0.000,28.141,0.000,poolmanager.py:263(connection_from_pool_key)
91126,0.675,0.000,58.065,0.001,poolmanager.py:287(connection_from_url)
91126,0.203,0.000,0.314,0.000,poolmanager.py:303(_merge_pool_kwargs)
91126,3.386,0.000,4.122,0.000,poolmanager.py:79(_default_key_normalizer)
91126,0.062,0.000,0.062,0.000,proxy.py:4(connection_requires_http_tunnel)
80746,0.088,0.000,0.088,0.000,pygtrie.py:127(get)
79613,0.170,0.000,0.217,0.000,pygtrie.py:1479(__path_from_key)
79613,0.047,0.000,0.047,0.000,pygtrie.py:1494(_path_from_key)
79613,0.558,0.000,0.864,0.000,pygtrie.py:606(_get_node)
79613,0.159,0.000,0.235,0.000,pygtrie.py:870(_slice_maybe)
79613,0.416,0.000,1.515,0.000,pygtrie.py:892(__getitem__)
91126,0.306,0.000,0.306,0.000,queue.py:12(_init)
1002386,6.263,0.000,15.944,0.000,queue.py:122(put)
2095898,1.820,0.000,2.621,0.000,queue.py:15(_qsize)
1093512,6.208,0.000,16.228,0.000,queue.py:154(get)
1002386,1.265,0.000,1.666,0.000,queue.py:18(_put)
1002386,1.195,0.000,1.650,0.000,queue.py:21(_get)
91126,1.097,0.000,4.543,0.000,queue.py:34(__init__)
4600,0.021,0.000,0.245,0.000,regex.py:340(finditer)
4600,0.016,0.000,0.262,0.000,regex.py:349(compile)
9200,0.143,0.000,0.416,0.000,regex.py:453(_compile)
4600,0.018,0.000,0.022,0.000,regex.py:475(complain_unused_args)
4600,0.004,0.000,0.004,0.000,regex.py:480(<setcomp>)
78223,0.175,0.000,0.274,0.000,regex.py:678(_compile_replacement_helper)
201,0.001,0.000,0.002,0.000,regex.py:694(make_string)
466,0.001,0.000,0.001,0.000,regex.py:695(<genexpr>)
91126,0.176,0.000,0.239,0.000,request.py:101(set_file_position)
182252,49.857,0.000,306.861,0.002,request.py:2488(getproxies_environment)
91126,1.064,0.000,6.167,0.000,request.py:2656(getproxies_registry)
91126,0.454,0.000,158.436,0.002,request.py:2705(getproxies)
273378,0.367,0.000,0.367,0.000,request.py:40(__init__)
91126,2.487,0.000,6.549,0.000,response.py:200(__init__)
182252,0.247,0.000,0.304,0.000,response.py:256(<genexpr>)
182252,0.517,0.000,3.930,0.000,response.py:280(release_conn)
91126,1.265,0.000,2.319,0.000,response.py:322(_init_length)
91126,0.230,0.000,0.230,0.000,response.py:348(<listcomp>)
91339,0.426,0.000,0.986,0.000,response.py:374(_init_decoder)
91339,0.142,0.000,0.142,0.000,response.py:397(_decode)
91126,0.890,0.000,2.829,0.000,response.py:40(assert_header_parsing)
182678,0.522,0.000,4.394,0.000,response.py:430(_error_catcher)
91339,0.447,0.000,15.052,0.000,response.py:486(_fp_read)
91339,1.807,0.000,24.536,0.000,response.py:534(read)
182465,0.664,0.000,25.727,0.000,response.py:606(stream)
91126,2.045,0.000,16.633,0.000,response.py:632(from_httplib)
91126,0.197,0.000,0.709,0.000,response.py:668(getheader)
91126,0.313,0.000,0.493,0.000,response.py:686(closed)
182465,0.381,0.000,0.528,0.000,response.py:9(is_fp_closed)
182252,1.815,0.000,2.238,0.000,retry.py:243(__init__)
182252,0.343,0.000,0.423,0.000,retry.py:301(<listcomp>)
91126,0.573,0.000,0.647,0.000,retry.py:448(_is_method_retryable)
91126,0.458,0.000,1.105,0.000,retry.py:468(is_retry)
91126,0.079,0.000,0.079,0.000,server.py:100(language)
91126,0.059,0.000,0.059,0.000,server.py:111(motherTongue)
91126,4.054,0.000,2453.027,0.027,server.py:126(check)
91126,0.413,0.000,16.427,0.000,server.py:131(<listcomp>)
91126,0.834,0.000,1.061,0.000,server.py:133(_create_params)
85273,1.029,0.000,2215.704,0.026,server.py:151(correct)
91126,1.528,0.000,2420.927,0.027,server.py:213(_query_server)
91126,0.278,0.000,1.176,0.000,sessions.py:107(get_redirect_target)
91126,0.512,0.000,3.980,0.000,sessions.py:159(resolve_redirects)
91126,1.736,0.000,19.449,0.000,sessions.py:389(__init__)
91126,0.048,0.000,0.048,0.000,sessions.py:451(__enter__)
91126,0.316,0.000,40.804,0.000,sessions.py:454(__exit__)
91126,3.151,0.000,240.107,0.003,sessions.py:457(prepare_request)
91126,2.994,0.000,2345.417,0.026,sessions.py:500(request)
637882,3.432,0.000,19.381,0.000,sessions.py:61(merge_setting)
91126,4.357,0.000,1758.241,0.019,sessions.py:671(send)
91126,0.217,0.000,4.197,0.000,sessions.py:723(<listcomp>)
91126,1.753,0.000,342.791,0.004,sessions.py:749(merge_environment_settings)
91126,0.666,0.000,1.065,0.000,sessions.py:780(get_adapter)
91126,0.709,0.000,40.488,0.000,sessions.py:794(close)
182252,0.650,0.000,1.273,0.000,sessions.py:799(mount)
182252,0.460,0.000,0.624,0.000,sessions.py:805(<listcomp>)
273378,0.604,0.000,2.437,0.000,sessions.py:84(<listcomp>)
91126,0.185,0.000,0.245,0.000,sessions.py:91(merge_hooks)
1366890,2.646,0.000,81.442,0.000,shlex.py:101(get_token)
1184638,57.331,0.000,78.707,0.000,shlex.py:133(read_token)
91126,1.017,0.000,1.101,0.000,shlex.py:21(__init__)
18498578,5.658,0.000,5.658,0.000,shlex.py:68(punctuation_chars)
182252,0.393,0.000,0.511,0.000,shlex.py:72(push_token)
1458016,2.038,0.000,2.970,0.000,six.py:1014(ensure_text)
182252,0.451,0.000,0.657,0.000,six.py:642(itervalues)
182252,0.189,0.000,0.189,0.000,six.py:991(ensure_str)
91126,7.329,0.000,7.329,0.000,socket.py:220(__init__)
91126,3.436,0.000,4.556,0.000,socket.py:302(makefile)
91126,0.243,0.000,0.243,0.000,socket.py:488(_decref_socketios)
91126,0.390,0.000,14.958,0.000,socket.py:494(_real_close)
91126,0.385,0.000,15.344,0.000,socket.py:498(close)
91126,0.864,0.000,0.864,0.000,socket.py:679(__init__)
182038,1.604,0.000,1209.851,0.007,socket.py:691(readinto)
273164,0.455,0.000,0.455,0.000,socket.py:730(readable)
91126,0.624,0.000,0.997,0.000,socket.py:768(close)
91126,0.702,0.000,5.914,0.000,socket.py:938(getaddrinfo)
182252,0.558,0.000,1.707,0.000,socket.py:99(_intenum_converter)
2182,0.017,0.000,0.113,0.000,statistics.py:556(mode)
637882,2.894,0.000,17.279,0.000,structures.py:40(__init__)
2095898,3.556,0.000,4.386,0.000,structures.py:46(__setitem__)
1640268,2.573,0.000,3.213,0.000,structures.py:51(__getitem__)
546756,1.382,0.000,1.650,0.000,structures.py:57(__iter__)
2460402,1.709,0.000,1.709,0.000,structures.py:58(<genexpr>)
182252,0.224,0.000,0.327,0.000,structures.py:60(__len__)
182252,0.685,0.000,5.852,0.000,structures.py:76(copy)
273378,2.369,0.000,2.369,0.000,threading.py:236(__init__)
2095898,2.299,0.000,3.584,0.000,threading.py:264(__enter__)
2095898,2.423,0.000,3.241,0.000,threading.py:267(__exit__)
2004772,2.334,0.000,3.757,0.000,threading.py:279(_is_owned)
2004772,3.182,0.000,6.939,0.000,threading.py:359(notify)
546756,3.638,0.000,3.638,0.000,threading.py:90(RLock)
364504,1.645,0.000,3.437,0.000,timeout.py:102(__init__)
1093512,1.595,0.000,1.791,0.000,timeout.py:119(_validate_timeout)
91126,0.365,0.000,1.138,0.000,timeout.py:165(from_float)
182252,0.593,0.000,2.277,0.000,timeout.py:181(clone)
91126,0.183,0.000,0.255,0.000,timeout.py:195(start_connect)
273378,0.191,0.000,0.191,0.000,timeout.py:220(connect_timeout)
91126,0.184,0.000,0.184,0.000,timeout.py:238(read_timeout)
637882,29.454,0.000,42.398,0.000,url.py:210(_encode_invalid_chars)
41520,0.059,0.000,0.094,0.000,url.py:223(<lambda>)
273378,2.464,0.000,3.880,0.000,url.py:244(_remove_path_dot_segments)
364504,1.567,0.000,2.807,0.000,url.py:274(_normalize_host)
91126,0.604,0.000,12.203,0.000,url.py:323(_encode_target)
273378,8.459,0.000,56.042,0.000,url.py:333(parse_url)
